date,shift,bottles_produced,defect_count,downtime_minutes,plant_id
2025-02-28,Shift A,3774,19,0,
2025-03-01,Shift A,2266,34,2,
2025-03-02,Shift B,4696,16,55,
2025-03-03,Shift C,2547,20,74,
2025-03-04,Shift A,2612,31,116,
2025-03-05,Shift A,2744,31,118,
2025-03-06,Shift A,4575,46,20,
2025-03-07,Shift C,4430,27,113,
2025-03-08,Shift A,2719,41,67,
2025-03-09,Shift B,4976,20,83,
2025-03-10,Shift C,4799,25,60,
2025-03-11,Shift A,2757,23,98,
2025-03-12,Shift A,5424,17,78,
2025-03-13,Shift A,4020,35,3,
2025-03-14,Shift C,3242,33,110,
2025-03-15,Shift A,5438,33,73,
2025-03-16,Shift A,4704,36,67,
2025-03-17,Shift A,2121,27,36,
2025-03-18,Shift B,3506,21,114,
2025-03-19,Shift A,4116,49,102,
2025-03-20,Shift C,4990,54,40,
2025-03-21,Shift B,3110,26,39,
2025-03-22,Shift C,3132,52,71,
2025-03-23,Shift B,5291,42,68,
2025-03-24,Shift B,2748,57,90,
2025-03-25,Shift A,4777,25,17,
2025-03-26,Shift C,2505,48,24,
2025-03-27,Shift C,5372,31,117,
2025-03-28,Shift C,3746,44,112,
2025-03-29,Shift C,4550,32,74,
2025-03-30,Shift A,2236,42,4,
2025-03-31,Shift C,5290,32,114,
2025-04-01,Shift A,4165,48,106,
2025-04-02,Shift C,3848,34,21,
2025-04-03,Shift C,5011,39,15,
2025-04-04,Shift A,2183,59,84,
2025-04-05,Shift B,2744,43,75,
2025-04-06,Shift A,2064,50,15,
2025-04-07,Shift C,3232,55,108,
2025-04-08,Shift A,5046,51,42,
2025-04-09,Shift A,4040,51,43,
2025-04-10,Shift A,3896,51,18,
2025-04-11,Shift C,4596,50,45,
2025-04-12,Shift A,4261,68,54,
2025-04-13,Shift B,4821,67,34,
2025-04-14,Shift B,3928,48,99,
2025-04-15,Shift C,5155,72,118,
2025-04-16,Shift B,5032,61,49,
2025-04-17,Shift C,5269,71,12,
2025-04-18,Shift A,3233,61,83,
2025-04-19,Shift A,4515,64,71,
2025-04-20,Shift B,4848,44,48,
2025-04-21,Shift C,2900,51,24,
2025-04-22,Shift C,4696,67,17,
2025-04-23,Shift B,4607,64,109,
2025-04-24,Shift B,5029,61,79,
2025-04-25,Shift C,2586,70,20,
2025-04-26,Shift C,2882,77,93,
2025-04-27,Shift A,2529,78,116,
2025-04-28,Shift B,4757,67,1,
2025-04-29,Shift B,3910,75,13,
2025-04-30,Shift C,5225,57,8,
2025-05-01,Shift B,2853,58,80,
2025-05-02,Shift A,4518,57,23,
2025-05-03,Shift C,4133,64,20,
2025-05-04,Shift A,2842,80,13,
2025-05-05,Shift B,4893,65,99,
2025-05-06,Shift C,4587,68,58,
2025-05-07,Shift C,3374,81,45,
2025-05-08,Shift B,4376,86,74,
2025-05-09,Shift B,4566,75,37,
2025-05-10,Shift B,4688,75,6,
2025-05-11,Shift B,4448,89,113,
2025-05-12,Shift C,4332,75,47,
2025-05-13,Shift B,4901,72,1,
2025-05-14,Shift A,3397,81,84,
2025-05-15,Shift A,4396,62,0,
2025-05-16,Shift A,5315,70,66,
2025-05-17,Shift B,4175,93,117,
2025-05-18,Shift A,3073,74,111,
2025-05-19,Shift A,4333,83,92,
2025-05-20,Shift B,2520,80,70,
2025-05-21,Shift B,4674,83,83,
2025-05-22,Shift A,3616,72,114,
2025-05-23,Shift C,4713,96,18,
2025-05-24,Shift A,2478,78,99,
2025-05-25,Shift A,2895,89,79,
2025-05-26,Shift C,2538,90,28,
2025-05-27,Shift A,2796,84,44,
2025-05-28,Shift C,2868,87,116,
2025-05-29,Shift A,2989,105,72,
2025-05-30,Shift A,4615,72,61,
2025-05-31,Shift A,2605,95,78,
2025-06-01,Shift C,4635,85,72,
2025-06-02,Shift B,2984,80,29,
2025-06-03,Shift C,3141,92,26,
2025-06-04,Shift A,5245,101,93,
2025-06-05,Shift C,2415,91,8,
2025-06-06,Shift A,3566,106,0,
2025-06-07,Shift A,4038,98,15,
